,,Elbow angle (degrees),,,,Elbow angle (rad),,,,Elbow angular velocity (rad/s),,,,Elbow angular acceleration (rad/s^2),,,
,,,,,,,,,,,,,,,,,
MAX,,57,1.524,45.594,19.747,0.994837673636768,0.026598817800394,0.795765419154295,0.34465016739132,2.55097323471493,1.54566358556618,2.58029476614838,0.531976356007879,25.1327412287156,16.0849543863803,18.5982285092481,11.8123883774969
MIN,,20.339,-26.852,15.738,11.669,0.354982516563127,-0.468655810745517,0.274679917678868,0.203662470415218,-2.44625347959525,-1.65038334068585,-1.94988184032807,-0.68277280338019,-25.8867234655782,-22.8707945181338,-25.6353960532889,-8.29380460547788
,,,,,,,,,,,,,,,,,
frame,t (sec),R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Add_Ang,R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Flex_Ang,R_Elbow_Ang_Vel,R_Shl_Flex_Vel,L_Elbow_Ang_Vel,L_Shl_Flex_Vel,R_Elbow_Ang_Acc,R_Shl_Flex_Acc,L_Elbow_Ang_Acc,L_Shl_Flex_Acc
31,0.258333333333333,54.524,0.53,17.35,17.407,0.951623321357388,0.00925024503557,0.302814625221016,0.303809462894653,-0.676489618073013,0.980176907920019,-0.213628300444109,-0.22200588085368,-5.78053048260829,-20.3575203952611,7.03716754403941,-2.0106192982972
32,0.266666666666667,54.847,0.062,17.452,17.513,0.95726073484133,0.001082104136236,0.30459486105805,0.305659511901767,-0.628318530717944,1.14982291121386,-0.272271363311104,-0.205250720034537,-8.29380460547411,-17.3415914478166,7.0371675440422,-3.2672563597343
33,0.275,55.147,-0.487,17.582,17.611,0.962496722597313,-0.008499753457212,0.306863789085643,0.307369934568721,-0.559203492338993,1.294336173279,-0.330914426178123,-0.178023583703418,-10.5557513160634,-13.3203528512197,6.28318530717974,-4.02123859659419
34,0.283333333333333,55.414,-1.105,17.74,17.696,0.967156751700138,-0.019285888234537,0.309621409303794,0.308853464432917,-0.471238898038465,1.40533911370583,-0.383274303737954,-0.144513262065133,-13.3203528512208,-9.550441666914,5.52920307031911,-4.77522083345672
35,0.291666666666667,55.639,-1.776,17.923,17.765,0.971083742517125,-0.030997047515419,0.312815361834944,0.310057741616793,-0.360235957611624,1.48492612759678,-0.429350995990613,-0.10471975511966,-16.3362817986678,-5.52920307031707,4.02123859659371,-5.02654824574424
36,0.3,55.811,-2.485,18.128,17.815,0.974085708830555,-0.043371431912059,0.316393286801532,0.31093040624279,-0.22410027595606,1.53100281984942,-0.462861317628894,-0.062831853071792,-18.5982285092493,-1.75929188601132,2.51327412287205,-4.52389342116865
37,0.308333333333333,55.918,-3.216,18.349,17.845,0.975953211130189,-0.056129788744138,0.320250464448439,0.311454005018388,-0.069115038378982,1.54566358556618,-0.483805268652828,-0.02513274122872,-20.3575203952616,0.502654824575297,1.25663706143545,-3.76991118430834
38,0.316666666666667,55.951,-3.954,18.58,17.857,0.976529169783347,-0.069010318623856,0.324282175020546,0.311663444528627,0.100530964914864,1.54147479536139,-0.49427724416479,0.006283185307183,-21.6141574567007,3.51858377201975,-0.251327412286134,-3.5185837720202
39,0.325,55.903,-4.69,18.816,17.854,0.97569141174239,-0.081855941918534,0.328401152055253,0.311611084651068,0.280648943720704,1.51215326392789,-0.492182849062405,0.035604716740685,-22.8707945181314,5.52920307031923,-0.753982236861573,-2.010619298297
40,0.333333333333333,55.769,-5.412,19.051,17.837,0.973352670544717,-0.094457219117933,0.33250267579744,0.311314378678228,0.471238898038465,1.46607657167523,-0.485899663755226,0.052359877559827,-22.8707945181336,7.53982236861405,-0.25132741228774,-0.502654824574697
